anime_id,title,genre,aired,episodes,members,score
880,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']",1994,1,77736,6.08
881,Ange Vierge,"['Adventure', 'Magic', 'Fantasy', 'School']",2016,12,39355,6.1
882,Bem,"['Action', 'Demons', 'Supernatural']",2019,12,40881,6.11
883,Mahou Sensou,"['Action', 'Fantasy', 'Magic']",2014,12,169904,6.12
884,Soul Eater NOT!,"['Action', 'Comedy', 'Ecchi', 'Shounen', 'Supernatural']",2014,12,140815,6.13
885,Caligula,"['Action', 'Sci-Fi']",2018,12,57239,6.12
886,Yakusoku no Neverland 2nd Season,"['Sci-Fi', 'Mystery', 'Psychological', 'Thriller', 'Shounen']",2021,11,768652,5.4
887,Kobayashi-san Chi no Maid Dragon 2nd Season,"['Slice of Life', 'Comedy', 'Fantasy']",2021,12,412216,8.41
888,Koisuru Boukun,"['Comedy', 'Romance', 'Yaoi']",2010,2,47161,7.34
889,Oni Chichi: Re-birth,['Hentai'],2011,1,25004,7.41
890,Itadaki! Seiekiâ¥,"['Hentai', 'Supernatural']",2014,1,25398,7.51
891,Aki-Sora: Yume no Naka,"['Ecchi', 'Romance', 'Seinen', 'Yuri']",2010,2,55069,6.25
892,Papa to Kiss in the Dark,"['Comedy', 'Drama', 'Romance', 'Yaoi']",2005,2,38382,6.27
893,Okane ga Nai,"['Drama', 'Romance', 'Yaoi']",2007,4,36132,6.41
894,Hyakujitsu no Bara,"['Drama', 'Yaoi']",2009,2,25053,6.83
895,Kirepapa.,"['Comedy', 'Drama', 'Romance', 'Yaoi']",2008,2,41191,6.87
896,Sensitive Pornograph,"['Comedy', 'Drama', 'Hentai', 'Romance', 'Yaoi']",2004,1,35822,6.92
897,Seitokaichou ni Chuukoku,"['Comedy', 'Drama', 'Romance', 'School', 'Yaoi']",2009,2,34737,7.21
898,Ai no Kusabi,"['Drama', 'Romance', 'Sci-Fi', 'Yaoi']",1992,2,28176,7.24
899,Ikoku Irokoi Romantan,"['Comedy', 'Romance', 'Yaoi']",2007,2,33451,7.14
900,Quanzhi Gaoshou 2nd Season,"['Action', 'Game']",2020,12,97380,7.97
901,Nekopara,"['Comedy', 'Romance']",2020,12,145352,6.75
902,Mahouka Koukou no Rettousei: Raihousha-hen,"['Action', 'Magic', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",2020,13,281587,7.29
903,Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2015,25,489888,8.82
904,Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",2014,22,995473,8.83
905,Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",2017,13,581663,8.83
906,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",2009,64,1615084,9.23
907,Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",2017,1,214621,8.83
908,Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",2019,13,442310,8.89
909,Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",2001,1,913212,8.9
910,Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",2019,26,575037,8.92
911,Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",2017,7,189944,8.93
912,Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",2008,25,992196,8.93
913,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2016,10,395375,8.94
914,Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",2017,12,139309,8.94
